Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1996 [YR1996],2000 [YR2000],2004 [YR2004],2008 [YR2008],2012 [YR2012],2016 [YR2016],2020 [YR2020],2023 [YR2023]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12486631,10243686,10383460,12057433,17106595,19542982,23553551,26427199,30466479,34636207,38972230,42239854
"Population, total",SP.POP.TOTL,Albania,ALB,2671997,2904429,3142336,3247039,3168033,3089027,3026939,2947314,2900401,2876101,2837849,2745972
"Population, total",SP.POP.TOTL,Algeria,DZA,18739378,21393530,24243018,26748303,28984634,30774621,32510186,34569592,37260563,40339329,43451666,45606480
"Population, total",SP.POP.TOTL,American Samoa,ASM,32886,38168,44532,50078,54500,58230,57626,55891,53691,50448,46189,43914
"Population, total",SP.POP.TOTL,Andorra,AND,35611,42181,49654,57283,64147,66097,76933,76055,71013,72540,77700,80088
"Population, total",SP.POP.TOTL,Angola,AGO,8330047,9617702,11060261,12632507,14383350,16394062,18771125,21691522,25188292,29154746,33428486,36684202
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,64889,65362,63982,64659,69798,75055,78941,83251,87674,90564,92664,94298
"Population, total",SP.POP.TOTL,Argentina,ARG,28024803,29832197,31690792,33568285,35389362,37070774,38668796,40273769,41733271,43590368,45376763,46654581
"Population, total",SP.POP.TOTL,Armenia,ARM,3135123,3272102,3366838,3574555,3298898,3168523,3065745,2983421,2914421,2865835,2805608,2777970
"Population, total",SP.POP.TOTL,Aruba,ABW,62267,64174,64332,70192,79417,89101,93540,97996,102112,104874,106585,106277
"Population, total",SP.POP.TOTL,Australia,AUS,14692000,15579391,16532164,17478635,18224767,19028802,19932722,21249199,22733465,24190907,25649248,26638544
"Population, total",SP.POP.TOTL,Austria,AUT,7549433,7561434,7585317,7840709,7959017,8011566,8171966,8321496,8429991,8736668,8916864,9132383
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,6160500,6567850,6974600,7382050,7763000,8048600,8306500,8763400,9295784,9757812,10093121,10112555
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,223752,241166,260452,281973,304933,325014,343089,362795,382061,395976,406471,412623
"Population, total",SP.POP.TOTL,Bahrain,BHR,362595,419217,483337,554470,632756,711442,833451,1110343,1224939,1409661,1477469,1485509
"Population, total",SP.POP.TOTL,Bangladesh,BGD,83929765,93534239,102688833,111272102,119876868,129193327,138789725,145421318,152090649,159784568,167420951,172954319
"Population, total",SP.POP.TOTL,Barbados,BRB,253575,257279,258762,260212,262793,264657,268505,272635,276197,278649,280693,281995
"Population, total",SP.POP.TOTL,Belarus,BLR,9643000,9910000,10140000,10216470,10159569,9979610,9730146,9527985,9446836,9469379,9379952,9178298
"Population, total",SP.POP.TOTL,Belgium,BEL,9859242,9855372,9901664,10045158,10156637,10251250,10421137,10709973,11106932,11331422,11538604,11822592
"Population, total",SP.POP.TOTL,Belize,BLZ,145133,159721,174817,190299,209840,240406,272128,305671,337059,367313,394921,410825
"Population, total",SP.POP.TOTL,Benin,BEN,3833939,4293070,4831624,5457778,6203860,6998023,7894554,8906469,10014078,11260085,12643123,13712828
"Population, total",SP.POP.TOTL,Bermuda,BMU,54670,56423,58347,58595,60129,61833,63740,65273,64798,64554,63893,63489
"Population, total",SP.POP.TOTL,Bhutan,BTN,415257,470165,529051,545944,537494,587207,649991,689737,721145,749761,772506,787424
"Population, total",SP.POP.TOTL,Bolivia,BOL,5736088,6251926,6804072,7394419,7989367,8592656,9216279,9880593,10569697,11263015,11936162,12388571
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4199820,4349597,4463320,4275730,3907751,4179350,4142860,3943392,3674374,3480986,3318407,3210847
"Population, total",SP.POP.TOTL,Botswana,BWA,938578,1099170,1261272,1420695,1582169,1726985,1859085,2007320,2175425,2352416,2546402,2675352
"Population, total",SP.POP.TOTL,Brazil,BRA,122288383,133888775,145253973,155900790,166037122,175873720,184722043,192672317,199977707,206859578,213196304,216422446
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,11109,12753,14593,16476,18120,20104,22715,26115,28421,29739,30910,31538
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,187921,214682,245729,277416,306196,333926,360461,384568,406634,425994,441725,452524
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8861535,8960679,8981446,8540164,8362826,8170172,7716860,7492561,7305888,7127822,6934015,6430370
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,6932967,7751476,8663720,9598555,10621210,11882888,13445977,15197915,17113732,19275498,21522626,23251485
"Population, total",SP.POP.TOTL,Burundi,BDI,4312834,4842268,5271840,5743085,5930507,6307659,7120496,8278109,9795479,10903327,12220227,13238559
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,317234,335473,353233,381947,421007,458251,486583,510336,533864,558394,582640,598682
"Population, total",SP.POP.TOTL,Cambodia,KHM,6198959,7133899,8269780,9718215,11182612,12118841,13016371,13943888,14786640,15624584,16396860,16944826
"Population, total",SP.POP.TOTL,Cameroon,CMR,8519891,9508570,10759573,12128604,13575324,15091594,16809407,18777081,21032684,23711630,26491087,28647293
"Population, total",SP.POP.TOTL,Canada,CAN,24515667,25607053,26791747,28371264,29610218,30685730,31938807,33247298,34713395,36110803,38028638,40097761
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,17100,20433,23956,28677,34194,39658,45286,51123,56860,62255,67311,69310
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2415276,2523538,2657235,2991727,3363570,3759170,4115138,4467233,4773306,4904177,5343020,5742315
"Population, total",SP.POP.TOTL,Chad,TCD,4408230,4920556,5483038,6302926,7200291,8259137,9613503,11098664,12754906,14592585,16644701,18278568
"Population, total",SP.POP.TOTL,Channel Islands,CHI,127984,132154,137765,142011,142898,145306,149538,154475,158621,163721,171113,175346
"Population, total",SP.POP.TOTL,Chile,CHL,11469828,12147758,12918389,13782297,14615483,15351799,16017966,16661462,17341771,18083879,19300315,19629590
"Population, total",SP.POP.TOTL,China,CHN,981235000,1036825000,1101630000,1164970000,1217550000,1262645000,1296075000,1324655000,1354190000,1387790000,1411100000,1410710000
"Population, total",SP.POP.TOTL,Colombia,COL,26176195,28689032,31256727,33939039,36632573,39215135,41648268,43815313,45782417,47625955,50930662,52085168
"Population, total",SP.POP.TOTL,Comoros,COM,328328,365664,408070,452990,494288,536758,581154,629470,684553,746232,806166,852075
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,26708686,29879852,33750052,38332302,44118709,48616317,54815607,62249724,70997870,81430977,92853164,102262808
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,1829256,2001739,2253336,2520958,2816595,3134030,3543012,4089602,4713257,5186824,5702174,6106869
"Population, total",SP.POP.TOTL,Costa Rica,CRI,2414303,2696200,3001461,3321939,3656234,3979193,4252800,4501921,4736593,4945205,5123105,5212173
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,8303810,9621405,11043193,12838314,14810946,16799670,18544903,20244449,22010712,24213622,26811790,28873034
"Population, total",SP.POP.TOTL,Croatia,HRV,4599782,4680285,4755207,4575818,4557097,4468302,4304600,4309705,4267558,4174349,4047680,3853200
"Population, total",SP.POP.TOTL,Cuba,CUB,9809107,10065539,10425433,10783748,10963031,11105791,11225294,11276609,11309290,11342012,11300698,11194449
"Population, total",SP.POP.TOTL,Curacao,CUW,148041,151940,149254,143912,146306,133860,134192,145880,152088,159664,154947,147862
"Population, total",SP.POP.TOTL,Cyprus,CYP,679327,719678,766412,810431,880058,948237,1018684,1092390,1156556,1197881,1237537,1260138
"Population, total",SP.POP.TOTL,Czechia,CZE,10304193,10330213,10355276,10319123,10315241,10255063,10197101,10384603,10510785,10566332,10697858,10873689
"Population, total",SP.POP.TOTL,Denmark,DNK,5123027,5111619,5129516,5171370,5263074,5339616,5404523,5493621,5591572,5728010,5831404,5946952
"Population, total",SP.POP.TOTL,Djibouti,DJI,324121,382156,482337,623197,644649,742033,818373,882886,954297,1023261,1090156,1136455
"Population, total",SP.POP.TOTL,Dominica,DMA,72978,71936,70397,69112,69166,68346,68574,68782,68888,70075,71995,73040
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,5755800,6282104,6834207,7427340,8012314,8540791,9043127,9522948,10030882,10527592,10999664,11332972
"Population, total",SP.POP.TOTL,Ecuador,ECU,8135845,9022979,9969788,10914222,11775221,12626507,13534593,14496797,15483883,16439585,17588595,18190484
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,43748556,48676443,54298446,59989142,65565195,71371371,77522427,83844783,91240376,99784030,107465134,112716598
"Population, total",SP.POP.TOTL,El Salvador,SLV,4508992,4782219,5170440,5552206,5797140,5958482,6035655,6068099,6161289,6250510,6292731,6364943
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,282509,357995,431587,501334,582573,684977,826355,994971,1193636,1398927,1596049,1714671
"Population, total",SP.POP.TOTL,Eritrea,ERI,1657982,1849594,2051546,1921153,2264073,2392880,2763140,3005779,3252596,3365287,3555868,3748901
"Population, total",SP.POP.TOTL,Estonia,EST,1477219,1518617,1561900,1533091,1415594,1396985,1362550,1337090,1322696,1315790,1329522,1366188
"Population, total",SP.POP.TOTL,Eswatini,SWZ,598564,677303,794434,925165,973587,1030496,1065764,1089870,1111444,1142524,1180655,1210822
"Population, total",SP.POP.TOTL,Ethiopia,ETH,34945469,39202890,44511537,52011554,59347649,67031867,75301026,84357105,94451280,105293228,117190911,126527060
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,43054,45135,46959,46005,44138,45660,47989,48411,48392,49500,52415,53270
"Population, total",SP.POP.TOTL,Fiji,FJI,644582,710561,764370,786859,796538,832509,866694,896731,911059,918371,920422,936375
"Population, total",SP.POP.TOTL,Finland,FIN,4779535,4881803,4946481,5041992,5124573,5176209,5228172,5313399,5413971,5495303,5529543,5584264
"Population, total",SP.POP.TOTL,France,FRA,55052582,56275701,57472651,58849943,59756533,60921384,62716306,64379696,65662240,66724104,67571107,68170228
"Population, total",SP.POP.TOTL,French Polynesia,PYF,163591,183146,201740,219621,235189,250927,267132,280558,286584,293541,301920,308872
