Country,Year,Population
Afghanistan,1980,12486631.0
Afghanistan,1984,10243686.0
Afghanistan,1988,10383460.0
Afghanistan,1992,12057433.0
Afghanistan,1996,17106595.0
Afghanistan,2000,19542982.0
Afghanistan,2004,23553551.0
Afghanistan,2008,26427199.0
Afghanistan,2012,30466479.0
Afghanistan,2016,34636207.0
Afghanistan,2020,38972230.0
Afghanistan,2024,46083680.0
Albania,1980,2671997.0
Albania,1984,2904429.0
Albania,1988,3142336.0
Albania,1992,3247039.0
Albania,1996,3168033.0
Albania,2000,3089027.0
Albania,2004,3026939.0
Albania,2008,2947314.0
Albania,2012,2900401.0
Albania,2016,2876101.0
Albania,2020,2837849.0
Albania,2024,2995855.0
Algeria,1980,18739378.0
Algeria,1984,21393530.0
Algeria,1988,24243018.0
Algeria,1992,26748303.0
Algeria,1996,28984634.0
Algeria,2000,30774621.0
Algeria,2004,32510186.0
Algeria,2008,34569592.0
Algeria,2012,37260563.0
Algeria,2016,40339329.0
Algeria,2020,43451666.0
Algeria,2024,49756669.0
American Samoa,1980,32886.0
American Samoa,1984,38168.0
American Samoa,1988,44532.0
American Samoa,1992,50078.0
American Samoa,1996,54500.0
American Samoa,2000,58230.0
American Samoa,2004,57626.0
American Samoa,2008,55891.0
American Samoa,2012,53691.0
American Samoa,2016,50448.0
American Samoa,2020,46189.0
American Samoa,2024,47910.0
Andorra,1980,35611.0
Andorra,1984,42181.0
Andorra,1988,49654.0
Andorra,1992,57283.0
Andorra,1996,64147.0
Andorra,2000,66097.0
Andorra,2004,76933.0
Andorra,2008,76055.0
Andorra,2012,71013.0
Andorra,2016,72540.0
Andorra,2020,77700.0
Andorra,2024,87376.0
Angola,1980,8330047.0
Angola,1984,9617702.0
Angola,1988,11060261.0
Angola,1992,12632507.0
Angola,1996,14383350.0
Angola,2000,16394062.0
Angola,2004,18771125.0
Angola,2008,21691522.0
Angola,2012,25188292.0
Angola,2016,29154746.0
Angola,2020,33428486.0
Angola,2024,40022464.0
Antigua and Barbuda,1980,64889.0
Antigua and Barbuda,1984,65362.0
Antigua and Barbuda,1988,63982.0
Antigua and Barbuda,1992,64659.0
Antigua and Barbuda,1996,69798.0
Antigua and Barbuda,2000,75055.0
Antigua and Barbuda,2004,78941.0
Antigua and Barbuda,2008,83251.0
Antigua and Barbuda,2012,87674.0
Antigua and Barbuda,2016,90564.0
Antigua and Barbuda,2020,92664.0
Antigua and Barbuda,2024,102879.0
Argentina,1980,28024803.0
Argentina,1984,29832197.0
Argentina,1988,31690792.0
Argentina,1992,33568285.0
Argentina,1996,35389362.0
Argentina,2000,37070774.0
Argentina,2004,38668796.0
Argentina,2008,40273769.0
Argentina,2012,41733271.0
Argentina,2016,43590368.0
Argentina,2020,45376763.0
Argentina,2024,50900147.0
Armenia,1980,3135123.0
Armenia,1984,3272102.0
Armenia,1988,3366838.0
Armenia,1992,3574555.0
Armenia,1996,3298898.0
Armenia,2000,3168523.0
Armenia,2004,3065745.0
Armenia,2008,2983421.0
Armenia,2012,2914421.0
Armenia,2016,2865835.0
Armenia,2020,2805608.0
Armenia,2024,3030765.0
Aruba,1980,62267.0
Aruba,1984,64174.0
Aruba,1988,64332.0
Aruba,1992,70192.0
Aruba,1996,79417.0
Aruba,2000,89101.0
Aruba,2004,93540.0
Aruba,2008,97996.0
Aruba,2012,102112.0
Aruba,2016,104874.0
Aruba,2020,106585.0
Aruba,2024,115948.0
Australia,1980,14692000.0
Australia,1984,15579391.0
Australia,1988,16532164.0
Australia,1992,17478635.0
Australia,1996,18224767.0
Australia,2000,19028802.0
Australia,2004,19932722.0
Australia,2008,21249199.0
Australia,2012,22733465.0
Australia,2016,24190907.0
Australia,2020,25649248.0
Australia,2024,29062651.0
Austria,1980,7549433.0
Austria,1984,7561434.0
Austria,1988,7585317.0
Austria,1992,7840709.0
Austria,1996,7959017.0
Austria,2000,8011566.0
Austria,2004,8171966.0
Austria,2008,8321496.0
Austria,2012,8429991.0
Austria,2016,8736668.0
Austria,2020,8916864.0
Austria,2024,9963429.0
Azerbaijan,1980,6160500.0
Azerbaijan,1984,6567850.0
Azerbaijan,1988,6974600.0
Azerbaijan,1992,7382050.0
Azerbaijan,1996,7763000.0
Azerbaijan,2000,8048600.0
Azerbaijan,2004,8306500.0
Azerbaijan,2008,8763400.0
Azerbaijan,2012,9295784.0
Azerbaijan,2016,9757812.0
Azerbaijan,2020,10093121.0
Azerbaijan,2024,11032797.0
"Bahamas, The",1980,223752.0
"Bahamas, The",1984,241166.0
"Bahamas, The",1988,260452.0
"Bahamas, The",1992,281973.0
"Bahamas, The",1996,304933.0
"Bahamas, The",2000,325014.0
"Bahamas, The",2004,343089.0
"Bahamas, The",2008,362795.0
"Bahamas, The",2012,382061.0
"Bahamas, The",2016,395976.0
"Bahamas, The",2020,406471.0
"Bahamas, The",2024,450171.0
Bahrain,1980,362595.0
Bahrain,1984,419217.0
Bahrain,1988,483337.0
Bahrain,1992,554470.0
Bahrain,1996,632756.0
Bahrain,2000,711442.0
Bahrain,2004,833451.0
Bahrain,2008,1110343.0
Bahrain,2012,1224939.0
Bahrain,2016,1409661.0
Bahrain,2020,1477469.0
Bahrain,2024,1620690.0
Bangladesh,1980,83929765.0
Bangladesh,1984,93534239.0
Bangladesh,1988,102688833.0
Bangladesh,1992,111272102.0
Bangladesh,1996,119876868.0
Bangladesh,2000,129193327.0
Bangladesh,2004,138789725.0
Bangladesh,2008,145421318.0
Bangladesh,2012,152090649.0
Bangladesh,2016,159784568.0
Bangladesh,2020,167420951.0
Bangladesh,2024,188693162.0
Barbados,1980,253575.0
Barbados,1984,257279.0
Barbados,1988,258762.0
Barbados,1992,260212.0
Barbados,1996,262793.0
Barbados,2000,264657.0
Barbados,2004,268505.0
Barbados,2008,272635.0
Barbados,2012,276197.0
Barbados,2016,278649.0
Barbados,2020,280693.0
Barbados,2024,307656.0
Belarus,1980,9643000.0
Belarus,1984,9910000.0
Belarus,1988,10140000.0
Belarus,1992,10216470.0
Belarus,1996,10159569.0
Belarus,2000,9979610.0
Belarus,2004,9730146.0
Belarus,2008,9527985.0
Belarus,2012,9446836.0
Belarus,2016,9469379.0
Belarus,2020,9379952.0
Belarus,2024,10013523.0
Belgium,1980,9859242.0
Belgium,1984,9855372.0
Belgium,1988,9901664.0
Belgium,1992,10045158.0
Belgium,1996,10156637.0
Belgium,2000,10251250.0
Belgium,2004,10421137.0
Belgium,2008,10709973.0
Belgium,2012,11106932.0
Belgium,2016,11331422.0
Belgium,2020,11538604.0
Belgium,2024,12898447.0
Belize,1980,145133.0
Belize,1984,159721.0
Belize,1988,174817.0
Belize,1992,190299.0
Belize,1996,209840.0
Belize,2000,240406.0
Belize,2004,272128.0
Belize,2008,305671.0
Belize,2012,337059.0
Belize,2016,367313.0
Belize,2020,394921.0
Belize,2024,448210.0
Benin,1980,3833939.0
Benin,1984,4293070.0
Benin,1988,4831624.0
Benin,1992,5457778.0
Benin,1996,6203860.0
Benin,2000,6998023.0
Benin,2004,7894554.0
Benin,2008,8906469.0
Benin,2012,10014078.0
Benin,2016,11260085.0
Benin,2020,12643123.0
Benin,2024,14960695.0
Bermuda,1980,54670.0
Bermuda,1984,56423.0
Bermuda,1988,58347.0
Bermuda,1992,58595.0
Bermuda,1996,60129.0
Bermuda,2000,61833.0
Bermuda,2004,63740.0
Bermuda,2008,65273.0
Bermuda,2012,64798.0
Bermuda,2016,64554.0
Bermuda,2020,63893.0
Bermuda,2024,69266.0
Bhutan,1980,415257.0
Bhutan,1984,470165.0
Bhutan,1988,529051.0
Bhutan,1992,545944.0
Bhutan,1996,537494.0
Bhutan,2000,587207.0
Bhutan,2004,649991.0
Bhutan,2008,689737.0
Bhutan,2012,721145.0
Bhutan,2016,749761.0
Bhutan,2020,772506.0
Bhutan,2024,859079.0
Bolivia,1980,5736088.0
Bolivia,1984,6251926.0
Bolivia,1988,6804072.0
Bolivia,1992,7394419.0
Bolivia,1996,7989367.0
Bolivia,2000,8592656.0
Bolivia,2004,9216279.0
Bolivia,2008,9880593.0
Bolivia,2012,10569697.0
Bolivia,2016,11263015.0
Bolivia,2020,11936162.0
Bolivia,2024,13515930.0
Bosnia and Herzegovina,1980,4199820.0
Bosnia and Herzegovina,1984,4349597.0
Bosnia and Herzegovina,1988,4463320.0
Bosnia and Herzegovina,1992,4275730.0
Bosnia and Herzegovina,1996,3907751.0
Bosnia and Herzegovina,2000,4179350.0
Bosnia and Herzegovina,2004,4142860.0
Bosnia and Herzegovina,2008,3943392.0
Bosnia and Herzegovina,2012,3674374.0
Bosnia and Herzegovina,2016,3480986.0
Bosnia and Herzegovina,2020,3318407.0
Bosnia and Herzegovina,2024,3503034.0
Botswana,1980,938578.0
Botswana,1984,1099170.0
Botswana,1988,1261272.0
Botswana,1992,1420695.0
Botswana,1996,1582169.0
Botswana,2000,1726985.0
Botswana,2004,1859085.0
Botswana,2008,2007320.0
Botswana,2012,2175425.0
Botswana,2016,2352416.0
Botswana,2020,2546402.0
Botswana,2024,2918809.0
Brazil,1980,122288383.0
Brazil,1984,133888775.0
Brazil,1988,145253973.0
Brazil,1992,155900790.0
Brazil,1996,166037122.0
Brazil,2000,175873720.0
Brazil,2004,184722043.0
Brazil,2008,192672317.0
Brazil,2012,199977707.0
Brazil,2016,206859578.0
Brazil,2020,213196304.0
Brazil,2024,236116888.0
British Virgin Islands,1980,11109.0
British Virgin Islands,1984,12753.0
British Virgin Islands,1988,14593.0
British Virgin Islands,1992,16476.0
British Virgin Islands,1996,18120.0
British Virgin Islands,2000,20104.0
British Virgin Islands,2004,22715.0
British Virgin Islands,2008,26115.0
British Virgin Islands,2012,28421.0
British Virgin Islands,2016,29739.0
British Virgin Islands,2020,30910.0
British Virgin Islands,2024,34407.0
Brunei Darussalam,1980,187921.0
Brunei Darussalam,1984,214682.0
Brunei Darussalam,1988,245729.0
Brunei Darussalam,1992,277416.0
Brunei Darussalam,1996,306196.0
Brunei Darussalam,2000,333926.0
Brunei Darussalam,2004,360461.0
Brunei Darussalam,2008,384568.0
Brunei Darussalam,2012,406634.0
Brunei Darussalam,2016,425994.0
Brunei Darussalam,2020,441725.0
Brunei Darussalam,2024,493703.0
Bulgaria,1980,8861535.0
Bulgaria,1984,8960679.0
Bulgaria,1988,8981446.0
Bulgaria,1992,8540164.0
Bulgaria,1996,8362826.0
Bulgaria,2000,8170172.0
Bulgaria,2004,7716860.0
Bulgaria,2008,7492561.0
Bulgaria,2012,7305888.0
Bulgaria,2016,7127822.0
Bulgaria,2020,6934015.0
Bulgaria,2024,7015533.0
Burkina Faso,1980,6932967.0
Burkina Faso,1984,7751476.0
Burkina Faso,1988,8663720.0
Burkina Faso,1992,9598555.0
Burkina Faso,1996,10621210.0
Burkina Faso,2000,11882888.0
Burkina Faso,2004,13445977.0
Burkina Faso,2008,15197915.0
Burkina Faso,2012,17113732.0
Burkina Faso,2016,19275498.0
Burkina Faso,2020,21522626.0
Burkina Faso,2024,25367370.0
Burundi,1980,4312834.0
Burundi,1984,4842268.0
Burundi,1988,5271840.0
Burundi,1992,5743085.0
Burundi,1996,5930507.0
Burundi,2000,6307659.0
Burundi,2004,7120496.0
Burundi,2008,8278109.0
Burundi,2012,9795479.0
Burundi,2016,10903327.0
Burundi,2020,12220227.0
Burundi,2024,14443267.0
Cabo Verde,1980,317234.0
Cabo Verde,1984,335473.0
Cabo Verde,1988,353233.0
Cabo Verde,1992,381947.0
Cabo Verde,1996,421007.0
Cabo Verde,2000,458251.0
Cabo Verde,2004,486583.0
Cabo Verde,2008,510336.0
Cabo Verde,2012,533864.0
Cabo Verde,2016,558394.0
Cabo Verde,2020,582640.0
Cabo Verde,2024,653162.0
Cambodia,1980,6198959.0
Cambodia,1984,7133899.0
Cambodia,1988,8269780.0
Cambodia,1992,9718215.0
Cambodia,1996,11182612.0
Cambodia,2000,12118841.0
Cambodia,2004,13016371.0
Cambodia,2008,13943888.0
Cambodia,2012,14786640.0
Cambodia,2016,15624584.0
Cambodia,2020,16396860.0
Cambodia,2024,18486805.0
Cameroon,1980,8519891.0
Cameroon,1984,9508570.0
Cameroon,1988,10759573.0
Cameroon,1992,12128604.0
Cameroon,1996,13575324.0
Cameroon,2000,15091594.0
Cameroon,2004,16809407.0
Cameroon,2008,18777081.0
Cameroon,2012,21032684.0
Cameroon,2016,23711630.0
Cameroon,2020,26491087.0
Cameroon,2024,31254196.0
Canada,1980,24515667.0
Canada,1984,25607053.0
Canada,1988,26791747.0
Canada,1992,28371264.0
Canada,1996,29610218.0
Canada,2000,30685730.0
Canada,2004,31938807.0
Canada,2008,33247298.0
Canada,2012,34713395.0
Canada,2016,36110803.0
Canada,2020,38028638.0
Canada,2024,43746657.0
Cayman Islands,1980,17100.0
Cayman Islands,1984,20433.0
Cayman Islands,1988,23956.0
Cayman Islands,1992,28677.0
Cayman Islands,1996,34194.0
Cayman Islands,2000,39658.0
Cayman Islands,2004,45286.0
Cayman Islands,2008,51123.0
Cayman Islands,2012,56860.0
Cayman Islands,2016,62255.0
Cayman Islands,2020,67311.0
Cayman Islands,2024,75617.0
Central African Republic,1980,2415276.0
Central African Republic,1984,2523538.0
Central African Republic,1988,2657235.0
Central African Republic,1992,2991727.0
Central African Republic,1996,3363570.0
Central African Republic,2000,3759170.0
Central African Republic,2004,4115138.0
Central African Republic,2008,4467233.0
Central African Republic,2012,4773306.0
Central African Republic,2016,4904177.0
Central African Republic,2020,5343020.0
Central African Republic,2024,6264865.0
Chad,1980,4408230.0
Chad,1984,4920556.0
Chad,1988,5483038.0
Chad,1992,6302926.0
Chad,1996,7200291.0
Chad,2000,8259137.0
Chad,2004,9613503.0
Chad,2008,11098664.0
Chad,2012,12754906.0
Chad,2016,14592585.0
Chad,2020,16644701.0
Chad,2024,19941917.0
Channel Islands,1980,127984.0
Channel Islands,1984,132154.0
Channel Islands,1988,137765.0
Channel Islands,1992,142011.0
Channel Islands,1996,142898.0
Channel Islands,2000,145306.0
Channel Islands,2004,149538.0
Channel Islands,2008,154475.0
Channel Islands,2012,158621.0
Channel Islands,2016,163721.0
Channel Islands,2020,171113.0
Channel Islands,2024,191302.0
Chile,1980,11469828.0
Chile,1984,12147758.0
Chile,1988,12918389.0
Chile,1992,13782297.0
Chile,1996,14615483.0
Chile,2000,15351799.0
Chile,2004,16017966.0
Chile,2008,16661462.0
Chile,2012,17341771.0
Chile,2016,18083879.0
Chile,2020,19300315.0
Chile,2024,21415882.0
China,1980,981235000.0
China,1984,1036825000.0
China,1988,1101630000.0
China,1992,1164970000.0
China,1996,1217550000.0
China,2000,1262645000.0
China,2004,1296075000.0
China,2008,1324655000.0
China,2012,1354190000.0
China,2016,1387790000.0
China,2020,1411100000.0
China,2024,1539084610.0
Colombia,1980,26176195.0
Colombia,1984,28689032.0
Colombia,1988,31256727.0
Colombia,1992,33939039.0
Colombia,1996,36632573.0
Colombia,2000,39215135.0
Colombia,2004,41648268.0
Colombia,2008,43815313.0
Colombia,2012,45782417.0
Colombia,2016,47625955.0
Colombia,2020,50930662.0
Colombia,2024,56824918.0
Comoros,1980,328328.0
Comoros,1984,365664.0
Comoros,1988,408070.0
Comoros,1992,452990.0
Comoros,1996,494288.0
Comoros,2000,536758.0
Comoros,2004,581154.0
Comoros,2008,629470.0
Comoros,2012,684553.0
Comoros,2016,746232.0
Comoros,2020,806166.0
Comoros,2024,929613.0
"Congo, Dem. Rep.",1980,26708686.0
"Congo, Dem. Rep.",1984,29879852.0
"Congo, Dem. Rep.",1988,33750052.0
"Congo, Dem. Rep.",1992,38332302.0
"Congo, Dem. Rep.",1996,44118709.0
"Congo, Dem. Rep.",2000,48616317.0
"Congo, Dem. Rep.",2004,54815607.0
"Congo, Dem. Rep.",2008,62249724.0
"Congo, Dem. Rep.",2012,70997870.0
"Congo, Dem. Rep.",2016,81430977.0
"Congo, Dem. Rep.",2020,92853164.0
"Congo, Dem. Rep.",2024,111568723.0
"Congo, Rep.",1980,1829256.0
"Congo, Rep.",1984,2001739.0
"Congo, Rep.",1988,2253336.0
"Congo, Rep.",1992,2520958.0
"Congo, Rep.",1996,2816595.0
"Congo, Rep.",2000,3134030.0
"Congo, Rep.",2004,3543012.0
"Congo, Rep.",2008,4089602.0
"Congo, Rep.",2012,4713257.0
"Congo, Rep.",2016,5186824.0
"Congo, Rep.",2020,5702174.0
"Congo, Rep.",2024,6662594.0
Costa Rica,1980,2414303.0
Costa Rica,1984,2696200.0
Costa Rica,1988,3001461.0
Costa Rica,1992,3321939.0
Costa Rica,1996,3656234.0
Costa Rica,2000,3979193.0
Costa Rica,2004,4252800.0
Costa Rica,2008,4501921.0
Costa Rica,2012,4736593.0
Costa Rica,2016,4945205.0
Costa Rica,2020,5123105.0
Costa Rica,2024,5686480.0
Cote d'Ivoire,1980,8303810.0
Cote d'Ivoire,1984,9621405.0
Cote d'Ivoire,1988,11043193.0
Cote d'Ivoire,1992,12838314.0
Cote d'Ivoire,1996,14810946.0
Cote d'Ivoire,2000,16799670.0
Cote d'Ivoire,2004,18544903.0
Cote d'Ivoire,2008,20244449.0
Cote d'Ivoire,2012,22010712.0
Cote d'Ivoire,2016,24213622.0
Cote d'Ivoire,2020,26811790.0
Cote d'Ivoire,2024,31500480.0
Croatia,1980,4599782.0
Croatia,1984,4680285.0
Croatia,1988,4755207.0
Croatia,1992,4575818.0
Croatia,1996,4557097.0
