Country,GDP_share,Population,gold,silver,bronze,total,Number of Athletes,Year
Afghanistan,0.0,12486631.0,0,0,0,0,11,1980-01-01
Afghanistan,0.0,10243686.0,0,0,0,0,0,1984-01-01
Afghanistan,0.0,10383460.0,0,0,0,0,5,1988-01-01
Afghanistan,0.0,12057433.0,0,0,0,0,0,1992-01-01
Afghanistan,0.0,17106595.0,0,0,0,0,2,1996-01-01
Afghanistan,0.0,19542982.0,0,0,0,0,0,2000-01-01
Afghanistan,0.035,23553551.0,0,0,0,0,5,2004-01-01
Afghanistan,0.041,26427199.0,0,0,1,1,4,2008-01-01
Afghanistan,0.059,30466479.0,0,0,1,1,6,2012-01-01
Afghanistan,0.06,34636207.0,0,0,0,0,6,2016-01-01
Afghanistan,0.06,38972230.0,0,0,0,0,5,2020-01-01
Albania,0.043,2671997.0,0,0,0,0,0,1980-01-01
Albania,0.044,2904429.0,0,0,0,0,0,1984-01-01
Albania,0.038,3142336.0,0,0,0,0,0,1988-01-01
Albania,0.021,3247039.0,0,0,0,0,7,1992-01-01
Albania,0.026,3168033.0,0,0,0,0,7,1996-01-01
Albania,0.026,3089027.0,0,0,0,0,4,2000-01-01
Albania,0.029,3026939.0,0,0,0,0,7,2004-01-01
Albania,0.031,2947314.0,0,0,0,0,11,2008-01-01
Albania,0.03,2900401.0,0,0,0,0,12,2012-01-01
Albania,0.03,2876101.0,0,0,0,0,6,2016-01-01
Albania,0.03,2837849.0,0,0,0,0,9,2020-01-01
Algeria,0.726,18739378.0,0,0,0,0,54,1980-01-01
Algeria,0.807,21393530.0,0,0,2,2,33,1984-01-01
Algeria,0.713,24243018.0,0,0,0,0,42,1988-01-01
Algeria,0.616,26748303.0,1,0,1,2,35,1992-01-01
Algeria,0.57,28984634.0,2,0,1,3,45,1996-01-01
Algeria,0.559,30774621.0,1,1,3,5,47,2000-01-01
Algeria,0.586,32510186.0,0,0,0,0,61,2004-01-01
Algeria,0.562,34569592.0,0,1,1,2,56,2008-01-01
Algeria,0.535,37260563.0,1,0,0,1,42,2012-01-01
Algeria,0.457,40339329.0,0,2,0,2,64,2016-01-01
Algeria,0.416,43451666.0,0,0,0,0,44,2020-01-01
Andorra,0.0,35611.0,0,0,0,0,2,1980-01-01
Andorra,0.0,42181.0,0,0,0,0,2,1984-01-01
Andorra,0.0,49654.0,0,0,0,0,3,1988-01-01
Andorra,0.0,57283.0,0,0,0,0,8,1992-01-01
Andorra,0.0,64147.0,0,0,0,0,8,1996-01-01
Andorra,0.004,66097.0,0,0,0,0,5,2000-01-01
Andorra,0.005,76933.0,0,0,0,0,6,2004-01-01
Andorra,0.004,76055.0,0,0,0,0,5,2008-01-01
Andorra,0.004,71013.0,0,0,0,0,6,2012-01-01
Andorra,0.003,72540.0,0,0,0,0,5,2016-01-01
Andorra,0.003,77700.0,0,0,0,0,2,2020-01-01
Angola,0.081,8330047.0,0,0,0,0,11,1980-01-01
Angola,0.078,9617702.0,0,0,0,0,0,1984-01-01
Angola,0.079,11060261.0,0,0,0,0,24,1988-01-01
Angola,0.078,12632507.0,0,0,0,0,28,1992-01-01
Angola,0.104,14383350.0,0,0,0,0,28,1996-01-01
Angola,0.106,16394062.0,0,0,0,0,30,2000-01-01
Angola,0.124,18771125.0,0,0,0,0,30,2004-01-01
Angola,0.169,21691522.0,0,0,0,0,32,2008-01-01
Angola,0.184,25188292.0,0,0,0,0,34,2012-01-01
Angola,0.176,29154746.0,0,0,0,0,25,2016-01-01
Angola,0.159,33428486.0,0,0,0,0,20,2020-01-01
Antigua and Barbuda,0.002,64889.0,0,0,0,0,0,1980-01-01
Antigua and Barbuda,0.002,65362.0,0,0,0,0,14,1984-01-01
Antigua and Barbuda,0.003,63982.0,0,0,0,0,15,1988-01-01
Antigua and Barbuda,0.002,64659.0,0,0,0,0,13,1992-01-01
Antigua and Barbuda,0.002,69798.0,0,0,0,0,13,1996-01-01
Antigua and Barbuda,0.003,75055.0,0,0,0,0,3,2000-01-01
Antigua and Barbuda,0.002,78941.0,0,0,0,0,5,2004-01-01
Antigua and Barbuda,0.003,83251.0,0,0,0,0,5,2008-01-01
Antigua and Barbuda,0.002,87674.0,0,0,0,0,5,2012-01-01
Antigua and Barbuda,0.002,90564.0,0,0,0,0,9,2016-01-01
Antigua and Barbuda,0.001,92664.0,0,0,0,0,6,2020-01-01
Argentina,1.286,28024803.0,0,0,0,0,0,1980-01-01
Argentina,1.133,29832197.0,0,0,0,0,81,1984-01-01
Argentina,0.977,31690792.0,0,1,1,2,118,1988-01-01
Argentina,0.89,33568285.0,0,0,1,1,84,1992-01-01
Argentina,0.908,35389362.0,0,2,1,3,179,1996-01-01
Argentina,0.842,37070774.0,0,2,2,4,143,2000-01-01
Argentina,0.738,38668796.0,2,0,4,6,152,2004-01-01
Argentina,0.825,40273769.0,2,0,4,6,132,2008-01-01
Argentina,0.812,41733271.0,1,1,2,4,137,2012-01-01
Argentina,0.76,43590368.0,3,1,0,4,213,2016-01-01
Argentina,0.705,45376763.0,0,1,2,3,189,2020-01-01
Armenia,0.0,3135123.0,0,0,0,0,0,1980-01-01
Armenia,0.0,3272102.0,0,0,0,0,0,1984-01-01
Armenia,0.0,3366838.0,0,0,0,0,0,1988-01-01
Armenia,0.017,3574555.0,0,0,0,0,0,1992-01-01
Armenia,0.015,3298898.0,1,1,0,2,32,1996-01-01
Armenia,0.016,3168523.0,0,0,1,1,25,2000-01-01
Armenia,0.022,3065745.0,0,0,0,0,18,2004-01-01
Armenia,0.029,2983421.0,0,1,4,5,25,2008-01-01
Armenia,0.027,2914421.0,0,1,1,2,25,2012-01-01
Armenia,0.027,2865835.0,1,3,0,4,33,2016-01-01
Armenia,0.03,2805608.0,0,2,2,4,17,2020-01-01
Aruba,0.0,62267.0,0,0,0,0,0,1980-01-01
Aruba,0.0,64174.0,0,0,0,0,0,1984-01-01
Aruba,0.005,64332.0,0,0,0,0,8,1988-01-01
Aruba,0.005,70192.0,0,0,0,0,5,1992-01-01
Aruba,0.005,79417.0,0,0,0,0,3,1996-01-01
Aruba,0.005,89101.0,0,0,0,0,5,2000-01-01
Aruba,0.005,93540.0,0,0,0,0,4,2004-01-01
Aruba,0.005,97996.0,0,0,0,0,2,2008-01-01
Aruba,0.004,102112.0,0,0,0,0,4,2012-01-01
Aruba,0.003,104874.0,0,0,0,0,9,2016-01-01
Aruba,0.002,106585.0,0,0,0,0,3,2020-01-01
Australia,1.157,14692000.0,2,2,5,9,120,1980-01-01
Australia,1.164,15579391.0,4,8,12,24,242,1984-01-01
Australia,1.183,16532164.0,3,6,5,14,252,1988-01-01
Australia,1.04,17478635.0,7,9,11,27,279,1992-01-01
Australia,1.073,18224767.0,9,9,23,41,417,1996-01-01
Australia,1.092,19028802.0,16,25,17,58,617,2000-01-01
Australia,1.085,19932722.0,17,16,17,50,470,2004-01-01
Australia,1.028,21249199.0,14,15,17,46,433,2008-01-01
Australia,0.975,22733465.0,8,15,12,35,410,2012-01-01
Australia,1.006,24190907.0,8,11,10,29,421,2016-01-01
